month,hour,maintenance,failure,weekday,temprature,simple_pos
7,10,924,925,6,225281.8403,0
7,9,924,1078,6,225281.8403,0
7,8,924,1078,6,225281.8403,0
7,7,924,1078,6,225281.8403,0
7,6,924,1199,6,225281.8403,0
7,5,924,1199,6,225281.8403,1
7,4,924,1405,6,225281.8403,1
7,3,924,1405,6,225281.8403,1
7,2,924,1568,6,225281.8403,0
7,1,924,1568,6,225281.8403,1
7,0,924,1774,6,225281.8403,1
7,23,768,976,5,213654.2239,1
7,22,768,976,5,213654.2239,0
7,21,768,976,5,213654.2239,1
7,20,768,976,5,213654.2239,1
7,19,768,770,5,213654.2239,1
7,18,768,770,5,213654.2239,1
7,17,768,770,5,213654.2239,1
7,16,768,922,5,213654.2239,1
7,15,768,1075,5,213654.2239,1
7,14,768,1285,5,213654.2239,0
7,13,768,1553,5,213654.2239,0
7,12,768,1553,5,213654.2239,1
7,11,768,1190,5,213654.2239,1
7,10,768,1090,5,213654.2239,1
7,9,768,1743,5,213654.2239,1
7,8,768,1423,5,213654.2239,1
7,7,768,2019,5,213654.2239,1
7,6,768,1803,5,213654.2239,1
7,5,768,1803,5,213654.2239,1
7,4,768,1566,5,213654.2239,1
7,3,768,1666,5,213654.2239,1
7,2,768,1460,5,213654.2239,1
7,1,768,1101,5,213654.2239,1
7,0,768,1657,5,213654.2239,1
7,23,532,1502,4,208982.3313,1
7,22,532,1502,4,208982.3313,1
7,21,532,1292,4,208982.3313,1
7,20,532,1700,4,208982.3313,1
7,19,532,1700,4,208982.3313,1
7,18,532,1292,4,208982.3313,1
7,17,532,1700,4,208982.3313,1
7,16,532,1292,4,208982.3313,1
7,15,532,1292,4,208982.3313,1
7,14,532,1292,4,208982.3313,1
7,13,532,1292,4,208982.3313,1
7,12,532,1137,4,208982.3313,1
7,11,532,1137,4,208982.3313,1
7,10,532,1247,4,208982.3313,1
7,9,532,1579,4,208982.3313,1
7,8,532,1171,4,208982.3313,1
7,7,532,1061,4,208982.3313,1
7,6,532,1003,4,208982.3313,1
7,5,532,1003,4,208982.3313,1
7,4,532,1011,4,208982.3313,1
7,3,532,1011,4,208982.3313,1
7,2,532,1011,4,208982.3313,1
7,1,532,1011,4,208982.3313,1
7,0,532,971,4,208982.3313,1
7,23,532,850,3,207753.0951,1
7,22,532,850,3,207753.0951,1
7,21,532,1029,3,207753.0951,1
7,20,532,1029,3,207753.0951,1
7,19,532,879,3,207753.0951,1
7,18,532,879,3,207753.0951,1
7,17,532,1023,3,207753.0951,1
7,16,532,1023,3,207753.0951,1
7,15,532,1039,3,207753.0951,1
7,14,532,1192,3,207753.0951,1
7,13,532,1192,3,207753.0951,1
7,12,532,1032,3,207753.0951,1
7,11,532,1218,3,207753.0951,1
7,10,532,1218,3,207753.0951,1
7,9,532,1218,3,207753.0951,1
7,8,532,1429,3,207753.0951,1
7,7,532,1429,3,207753.0951,1
7,6,532,1429,3,207753.0951,1
7,5,532,1582,3,207753.0951,1
7,4,532,1888,3,207753.0951,1
7,3,532,2359,3,207753.0951,1
7,2,532,2053,3,207753.0951,1
7,1,532,2053,3,207753.0951,1
7,0,532,1840,3,207753.0951,1
7,23,350,1687,2,200294.7377,1
7,22,350,1687,2,200294.7377,1
7,21,350,1534,2,200294.7377,1
7,20,350,1534,2,200294.7377,1
7,19,350,1056,2,200294.7377,1
7,18,350,1093,2,200294.7377,1
7,17,350,1259,2,200294.7377,1
7,16,350,1295,2,200294.7377,1
7,15,350,1441,2,200294.7377,1
7,14,586,1447,2,200294.7377,1
7,13,586,1167,2,200294.7377,0
7,12,586,882,2,200294.7377,0
7,11,586,882,2,200294.7377,0
7,10,586,939,2,200294.7377,0
7,9,586,939,2,200294.7377,0
7,8,586,939,2,200294.7377,0
7,7,586,1149,2,200294.7377,1
7,6,586,1512,2,200294.7377,1
7,5,586,1302,2,200294.7377,1
7,4,586,1927,2,200294.7377,1
7,3,586,2282,2,200294.7377,1
7,2,586,1802,2,200294.7377,0
7,1,586,2017,2,200294.7377,0
7,0,586,3045,2,200294.7377,0
7,23,586,2055,1,197188.4106,1
7,22,586,2055,1,197188.4106,1
7,21,586,1835,1,197188.4106,1
7,20,586,2035,1,197188.4106,1
7,19,586,1362,1,197188.4106,1
7,18,586,1655,1,197188.4106,1
7,17,586,1978,1,197188.4106,1
7,16,586,1958,1,197188.4106,1
7,15,586,2131,1,197188.4106,1
7,14,586,2028,1,197188.4106,1
7,13,586,2028,1,197188.4106,1
7,12,586,2136,1,197188.4106,1
7,11,586,2743,1,197188.4106,1
7,10,586,2901,1,197188.4106,1
7,9,586,3229,1,197188.4106,1
7,8,586,2839,1,197188.4106,1
7,7,586,2157,1,197188.4106,0
7,6,586,1908,1,197188.4106,1
7,5,586,1908,1,197188.4106,0
7,4,586,2339,1,197188.4106,0
7,3,586,2849,1,197188.4106,1
7,2,586,2890,1,197188.4106,1
7,1,586,2920,1,197188.4106,1
7,0,586,2836,1,197188.4106,1
7,23,586,1755,7,197203.7716,1
7,22,586,2280,7,197203.7716,1
7,21,586,2980,7,197203.7716,1
7,20,586,2670,7,197203.7716,1
7,19,586,1849,7,197203.7716,1
7,18,586,2549,7,197203.7716,1
7,17,586,1970,7,197203.7716,1
7,16,586,1270,7,197203.7716,1
